,product_name,sale_price,regular_price,category
3270,1928 black teardrop earrings,18.0,24.0,earring
3271,dana buchman teal teardrop ... hoop earrings,12.6,18.0,earring
3272,dana buchman gold tone ... geometric link stretch bracelet,19.6,28.0,bracelet
3273,simply vera vera wang ... simulated crystal hoop drop earrings,9.6,16.0,earring
3274,1928 porcelain rose drop ... earrings,15.0,20.0,earring
3275,dana buchman silver tone & ... hematite tone double hoop drop earrings,12.6,18.0,earring
3276,dana buchman silver tone & ... hematite tone link statement necklace,25.2,36.0,necklace
3277,1928 filigree intertwined drop ... earrings,13.5,18.0,earring
3278,napier silver tone simulated ... crystal drop earrings,9.6,16.0,earring
3279,1928 scalloped openwork ... teardrop necklace,21.0,28.0,earring
3280,simply vera vera wang black ... marquise nickel free drop earrings,10.8,18.0,earring
3281,1928 filigree heart pendant ... necklace,31.5,42.0,earring
3282,dana buchman doorknocker clip ... on earrings,11.2,16.0,earring
3283,dana buchman cubic zirconia ... hoop drop earrings,11.2,16.0,earring
3284,1928 flower heart pendant ... necklace,22.5,30.0,earring
3285,dana buchman simulated crystal ... flower motif threader earrings,12.6,18.0,earring
3286,dana buchman gold tone mesh ... double hoop earrings,14.0,20.0,earring
3287,crystal avenue long heart ... lariat necklace,39.0,65.0,earring
3288,crystal avenue cup chain swag ... necklace,45.0,75.0,necklace
3289,1928 crystal & simulated pearl ... stretch bracelet,16.5,22.0,earring
3290,1928 14k gold-plated simulated ... pearl crucifix pendant necklace,21.0,28.0,earring
3291,crystal allure bib necklace & ... drop earring set,87.0,145.0,earring
3292,dana buchman cubic zirconia ... teardrop earrings,11.2,16.0,earring
3293,downtown abbey simulated ... crystal drop earrings,18.75,25.0,earring
3294,1928 textured ball drop ... earrings,10.5,14.0,earring
3295,napier stud earrings,8.4,14.0,earring
3296,1928 simulated pearl twist ... drop earrings,15.0,20.0,earring
3297,1928 black stone cross pendant ... necklace,21.0,28.0,necklace
3298,1928 jet blue simulated ... crystal drop earrings,12.0,16.0,earring
3299,napier multi strand silver ... tone knot necklace & stud earring set,19.2,32.0,earring
3300,1928 crystal oval linear ... earrings,45.0,60.0,earring
3301,1928 crystal north star cross ... drop earrings,12.0,16.0,earring
3302,simply vera vera wang ... simulated pearl halo button stud earrings,8.4,14.0,earring
3303,1928 crystal & simulated pearl ... halo stud earrings,16.5,22.0,earring
3304,simply vera vera wang lattice ... hoop earrings,8.4,14.0,earring
