,product_name,price
256,kate spade new york bright ideas pavé halo stud earrings,48.0
257,sole society nuddo faux leather tote,64.95
258,kate spade new york jackson street - kiernan leather laptop tote,398.0
259,nordstrom finn leather crossbody bag,99.0
260,kate spade new york hadley road small dina leather shoulder/crossbody bag,298.0
261,bp. bar charm necklace,14.0
262,rebecca minkoff julian backpack,295.0
263,burberrry baby banner leather satchel,1190.0
264,saint laurent kate tassel calfskin leather shoulder bag,1990.0
265,kate spade new york cameron street - corin crossbody bag,178.0
266,david yurman 'cable classics' band ring,145.0
267,kate spade new york jackson street small harlyn leather crossbody bag,228.0
268,kendra scott elisa birthstone pendant necklace,50.0
269,saint laurent lou matelassé leather belt bag,995.0
270,tory burch mcgraw triple compartment leather satchel,498.0
271,kendra scott elisa filigree pendant necklace,60.0
272,bp. geo colorblock scarf,29.0
273,kendra scott fern pendant necklace,45.0
274,bp. 59mm perfect cat eye sunglasses,15.0
275,bp. pendant necklace,16.0
276,madewell canvas transport tote,58.0
277,topshop faux fur double pompom beanie,26.0
278,rebecca minkoff 'slim regan' hobo,345.0
279,burberry giant check reversible tote,1450.0
280,tory burch mini robinson convertible leather shoulder bag,298.0
281,nordstrom leather phone crossbody bag,79.0
282,marc jacobs snapshot leather wallet on a chain,265.0
283,tory burch reversible leather belt,138.0
284,ted baker london edyth leather cardholder with mirror,65.0
285,bp. leopard stripe knit scarf,24.0
286,"david yurman cable classics bracelet with semiprecious stones & 14k gold, 5mm",2.5
287,tory burch mcgraw leather hobo,398.0
288,monica vinader engravable havana mini friendship bracelet,3.0
289,tory burch robinson leather tote,348.0
290,kate spade new york bright idea drop earrings,48.0
291,kate spade new york bright idea drop earrings,48.0
292,saint laurent small mono leather camera bag,995.0
293,rebecca minkoff patchwork jacquard pompom beanie,38.0
294,kate spade new york shine on stud earrings,38.0
295,tory burch robinson leather card case,68.0
296,nordstrom mya leather crossbody bag,99.0
297,free people emerson plaid scarf,58.0
298,tory burch fleming leather wallet/crossbody,348.0
299,sole society zeda faux leather tote,49.95
300,bp. plate & disc layered necklace,19.0
301,bang & olufsen e8 true wireless earphones,299.0
302,david yurman 'wheaton' petite ring with semiprecious stone & diamonds,4.5
303,marc jacobs mini the boho grind leather shoulder bag,325.0
304,"tory burch classic-t leather strap watch, 36mm",250.0
305,tory burch fleming quilted leather crossbody bag,378.0
306,kendra scott miku drop earrings,60.0
307,rebecca minkoff mini julian pebbled leather convertible backpack,195.0
308,tory burch miller leather crossbody bag,398.0
309,bp. plaid poncho,39.0
310,tory burch kira leather envelope clutch,278.0
311,tory burch robinson small leather satchel,348.0
312,herschel supply co. novel duffel bag,85.0
313,gorjana power gemstone charm adjustable necklace,48.0
314,rebecca minkoff slim regan leather hobo,345.0
315,quay australia x jaclyn hill roxanne 62mm stud aviator sunglasses,65.0
316,longchamp le pliage club tote,155.0
317,david yurman 'color classics' bangle bracelet,350.0
318,burberry heritage giant check fringed cashmere muffler,430.0
319,gucci medium gg marmont 2.0 matelassé leather shoulder bag,2490.0
320,beis travel multi function travel backpack,62.0
321,halogen® refined wide brim wool floppy hat,39.0
322,halogen® lightweight cashmere scarf,149.0
323,tory burch small mcgraw leather tote,348.0
324,kate spade new york cameron street large hilli leather crossbody bag (nordstrom exclusive),198.0
325,burberry square leather shoulder bag,1850.0
326,givenchy 'mini antigona' sugar leather satchel,1790.0
327,kendra scott elaina bracelet,62.5
328,burberry embossed crest small leather tote,950.0
329,kate spade new york reese park - ellery leather crossbody bag,198.0
330,kate spade new york cameron street large hilli leather crossbody bag (nordstrom exclusive),198.0
331,kendra scott pattie pendant necklace,65.0
332,chelsea28 reese ring crossbody bag,49.0
333,kate spade new york watson lane - lucie nylon crossbody bag,158.0
334,kate spade new york 'rise & shine' stud earrings,38.0
335,tory burch fleming leather wallet/crossbody,348.0
336,tory burch tilda slouchy nylon satchel,278.0
337,kate spade new york jackson street - quincy leather hobo,298.0
338,madewell vermeil astrological sign necklace,58.0
339,longchamp small le pliage neo nylon tote,175.0
340,kendra scott lee small drop earrings,62.5
341,kate spade new york cameron street - sally leather satchel,378.0
342,tory burch fleming quilted leather top handle satchel,498.0
343,burberry 1983 check cotton & leather envelope clutch,400.0
