Tory Burch McGraw Leather Crossbody Bag,$398.00
Rebecca Minkoff Slim Regan Hobo Bag,$325.00
Cam Jewelry Ascending Zodiac Medallion Necklace,$55.00
Kendra Scott Tessa Stone Stud Earrings,$50.00 – $65.00
David Yurman 'Albion' Petite Ring with Semiprecious Stone & Diamonds,$675.00 – $725.00
Saint Laurent Large Cassandra Calfskin Shoulder Bag,"$2,590.00"
kate spade new york cameron street - ivey leather card case,$88.00
Tory Burch Robinson Convertible Leather Shoulder Bag,$398.00
Tory Burch Fleming Leather Convertible Shoulder Bag,$498.00
Longchamp Le Pliage Club Medium Shoulder Tote,$140.00
Tory Burch Circle Logo Stud Earrings,$78.00
Tory Burch Robinson Leather Tote,$348.00
Gucci Small GG Marmont 2.0 Matelassé Leather Shoulder Bag,"$1,980.00"
Eliza J Faux Fur Capelet,$98.00
Kendra Scott Ott Friendship Bracelet,$70.00
Rebecca Minkoff 'Chevron Quilted Love' Crossbody Bag,$295.00
Rebecca Minkoff Small Darren Leather Feed Bag,$245.00
kate spade new york 'cameron street - lacey' leather wallet,$188.00
kate spade new york mini small square semiprecious stone stud earrings,$38.00
Halogen® Cashmere Fingerless Gloves,$45.00
gorjana Amara Pendant Necklace,$48.00
Gucci Mini GG Marmont 2.0 Matelassé Leather Shoulder Bag,"$1,790.00"
Gucci GG Marmont Matelassé Leather Card Case,$250.00
gorjana Power Gemstone Beaded Bracelet,$48.00
Madewell Multi Stripe Scarf,$65.00
kate spade new york mini small square semiprecious stone stud earrings,$38.00
Nadri Initial Pendant Necklace,$45.00
kate spade new york cameron street - eliza leather wallet,$110.00
Givenchy 'Medium Antigona' Sugar Leather Satchel,"$2,450.00"
Burberry Small 1983 Check Envelope Card Case,$260.00
gorjana Taner Bar Small Necklace,$60.00
kate spade one in a million initial pendant necklace,$48.00
kate spade new york cameron street - small hayden leather satchel,$298.00
Gucci Dionysus GG Supreme Canvas Wallet on a Chain,"$1,250.00"
Sole Society Mason Weekend Bag,$79.95
Marcie Small Double Carry Bag,"$1,750.00"
Tory Burch Robinson Leather Wallet on a Chain,$298.00
BP. 'Heritage' Plaid Infinity Scarf,$24.00
Quay Australia x Desi Perkins High Key Mini 57mm Aviator Sunglasses,$65.00
Tory Burch McGraw Leather Continental Zip Wallet,$198.00
Treasure & Bond Felt Panama Hat,$39.00
kate spade new york leather iPhone crossbody bag,$100.00
Ted Baker London Pebbled Leather Matinée Wallet,$149.00
Madewell The Simple Pouch Leather Belt Bag,$68.00
Burberry Hampshire Vintage Check Crossbody Bag,$790.00
Burberry Large Square Leather Shoulder Bag,"$1,850.00"
Tory Burch Robinson Leather Card Case,$98.00
"David Yurman Cable Classics Bracelet with 14K Gold, 5mm",$495.00
